ID	Titles
0	042913-SludgeD1_13-18, Cmpd 7765, +MSn(426.7124), 18.85 min
1	042913-SludgeD1_1-6, Cmpd 5765, +MSn(416.7297), 15.76 min
4	042913-SludgeD1_1-6, Cmpd 15799, +MSn(631.3431), 37.40 min
7	042913-SludgeD1_19-24, Cmpd 6048, +MSn(532.25), 15.12 min
15	042913-SludgeD1_19-24, Cmpd 17153, +MSn(975.9284), 36.02 min;042913-SludgeD1_19-24, Cmpd 17042, +MSn(975.93), 35.80 min;042913-SludgeD1_19-24, Cmpd 16943, +MSn(975.9301), 35.61 min
18	042913-SludgeD1_1-6, Cmpd 24523, +MSn(633.9102), 58.86 min
20	042913-SludgeD1_13-18, Cmpd 15447, +MSn(594.2637), 33.51 min
21	042913-SludgeD1_19-24, Cmpd 10102, +MSn(504.26), 23.16 min
24	042913-SludgeD1_1-6, Cmpd 37341, +MSn(421.7586), 92.32 min
27	042913-SludgeD1_1-6, Cmpd 13469, +MSn(484.7891), 32.29 min
28	042913-SludgeD1_19-24, Cmpd 10000, +MSn(516.2789), 22.96 min
29	042913-SludgeD1_13-18, Cmpd 13302, +MSn(729.8903), 29.38 min
32	042913-SludgeD1_25-30, Cmpd 13996, +MSn(453.7353), 29.87 min
33	042913-SludgeD1_19-24, Cmpd 8677, +MSn(435.2434), 20.56 min
41	042913-SludgeD1_19-24, Cmpd 19560, +MSn(482.7716), 41.51 min
44	042913-SludgeD1_19-24, Cmpd 36203, +MSn(674.7067), 84.22 min
45	042913-SludgeD1_19-24, Cmpd 6617, +MSn(486.2437), 16.52 min
50	042913-SludgeD1_25-30, Cmpd 21253, +MSn(476.7777), 45.19 min
55	042913-SludgeD1_1-6, Cmpd 10190, +MSn(556.2726), 25.42 min
57	042913-SludgeD1_1-6, Cmpd 10486, +MSn(508.2844), 26.07 min
61	042913-SludgeD1_13-18, Cmpd 19017, +MSn(638.3327), 41.34 min
63	042913-SludgeD1_25-30, Cmpd 13812, +MSn(550.2578), 29.50 min
64	042913-SludgeD1_19-24, Cmpd 19720, +MSn(480.7533), 41.92 min;042913-SludgeD1_19-24, Cmpd 19643, +MSn(480.7593), 41.72 min
67	042913-SludgeD1_13-18, Cmpd 11245, +MSn(439.7522), 25.40 min
69	042913-SludgeD1_19-24, Cmpd 6978, +MSn(481.2471), 17.29 min
70	042913-SludgeD1_13-18, Cmpd 19553, +MSn(662.34), 42.67 min;042913-SludgeD1_13-18, Cmpd 19059, +MSn(662.34), 41.45 min;042913-SludgeD1_25-30, Cmpd 19443, +MSn(662.3393), 40.57 min
72	042913-SludgeD1_1-6, Cmpd 10567, +MSn(465.7679), 26.25 min
78	042913-SludgeD1_25-30, Cmpd 25732, +MSn(687.4335), 56.55 min
80	042913-SludgeD1_13-18, Cmpd 29445, +MSn(640.3923), 67.67 min
82	042913-SludgeD1_13-18, Cmpd 24078, +MSn(657.8549), 54.20 min
83	042913-SludgeD1_25-30, Cmpd 16888, +MSn(571.2445), 35.07 min
85	042913-SludgeD1_19-24, Cmpd 17198, +MSn(495.7687), 36.11 min
86	042913-SludgeD1_1-6, Cmpd 15950, +MSn(501.2941), 37.76 min
87	042913-SludgeD1_25-30, Cmpd 14678, +MSn(712.8449), 31.17 min
91	042913-SludgeD1_25-30, Cmpd 28588, +MSn(489.316), 64.01 min
98	042913-SludgeD1_13-18, Cmpd 24148, +MSn(657.8522), 54.38 min
101	042913-SludgeD1_25-30, Cmpd 18342, +MSn(488.7776), 37.99 min
102	042913-SludgeD1_13-18, Cmpd 23720, +MSn(610.3249), 53.29 min
103	042913-SludgeD1_19-24, Cmpd 21097, +MSn(600.7723), 45.47 min
104	042913-SludgeD1_25-30, Cmpd 24590, +MSn(447.7214), 53.60 min
105	042913-SludgeD1_19-24, Cmpd 20098, +MSn(496.2936), 42.89 min
