ID	Titles
0	042913-SludgeD1_1-6, Cmpd 28165, +MSn(970.01), 68.04 min
2	042913-SludgeD1_1-6, Cmpd 25061, +MSn(669.89), 60.21 min
5	042913-SludgeD1_13-18, Cmpd 32974, +MSn(684.17), 76.95 min
8	042913-SludgeD1_13-18, Cmpd 4428, +MSn(920.81), 10.94 min
9	042913-SludgeD1_19-24, Cmpd 4524, +MSn(785.41), 11.21 min
13	042913-SludgeD1_1-6, Cmpd 19468, +MSn(613.36), 46.63 min
17	042913-SludgeD1_13-18, Cmpd 39840, +MSn(681.23), 94.92 min
18	042913-SludgeD1_1-6, Cmpd 9451, +MSn(461.76), 23.92 min
19	042913-SludgeD1_25-30, Cmpd 26105, +MSn(651.34), 57.50 min
26	042913-SludgeD1_1-6, Cmpd 3593, +MSn(704.19), 9.28 min
27	042913-SludgeD1_1-6, Cmpd 14050, +MSn(701.37), 33.50 min
28	042913-SludgeD1_1-6, Cmpd 18859, +MSn(534.33), 45.08 min
30	042913-SludgeD1_1-6, Cmpd 5936, +MSn(458.73), 16.17 min
33	042913-SludgeD1_1-6, Cmpd 32724, +MSn(956.21), 79.86 min
34	042913-SludgeD1_1-6, Cmpd 944, +MSn(441.3), 2.48 min
38	042913-SludgeD1_19-24, Cmpd 4430, +MSn(841.95), 10.97 min
39	042913-SludgeD1_19-24, Cmpd 23629, +MSn(489.31), 52.01 min
42	042913-SludgeD1_1-6, Cmpd 5756, +MSn(533.19), 15.74 min
43	042913-SludgeD1_13-18, Cmpd 38856, +MSn(684.2), 92.43 min;042913-SludgeD1_13-18, Cmpd 39339, +MSn(684.21), 93.65 min
44	042913-SludgeD1_1-6, Cmpd 23395, +MSn(414.76), 56.04 min
45	042913-SludgeD1_19-24, Cmpd 22092, +MSn(663.31), 48.03 min
46	042913-SludgeD1_19-24, Cmpd 28928, +MSn(923.1), 65.61 min
47	042913-SludgeD1_25-30, Cmpd 23126, +MSn(606.32), 49.99 min
49	042913-SludgeD1_1-6, Cmpd 22939, +MSn(643.41), 54.90 min
55	042913-SludgeD1_19-24, Cmpd 9204, +MSn(451.25), 21.54 min
58	042913-SludgeD1_19-24, Cmpd 30573, +MSn(576.91), 69.96 min
59	042913-SludgeD1_1-6, Cmpd 2801, +MSn(772.27), 7.35 min
66	042913-SludgeD1_19-24, Cmpd 21543, +MSn(502.74), 46.62 min
68	042913-SludgeD1_25-30, Cmpd 26508, +MSn(607.35), 58.55 min
70	042913-SludgeD1_13-18, Cmpd 13675, +MSn(505.8), 30.13 min
75	042913-SludgeD1_13-18, Cmpd 28217, +MSn(533.83), 64.54 min
79	042913-SludgeD1_1-6, Cmpd 12588, +MSn(492.3), 30.47 min
81	042913-SludgeD1_1-6, Cmpd 21197, +MSn(947.93), 50.74 min
84	042913-SludgeD1_13-18, Cmpd 28084, +MSn(797.48), 64.20 min
86	042913-SludgeD1_13-18, Cmpd 25396, +MSn(512.73), 57.45 min
90	042913-SludgeD1_25-30, Cmpd 18086, +MSn(665.32), 37.46 min
93	042913-SludgeD1_1-6, Cmpd 1111, +MSn(1077.67), 2.95 min
94	042913-SludgeD1_25-30, Cmpd 18550, +MSn(541.78), 38.45 min
96	042913-SludgeD1_19-24, Cmpd 4111, +MSn(1083.38), 10.14 min
98	042913-SludgeD1_13-18, Cmpd 18588, +MSn(531.3), 40.31 min
103	042913-SludgeD1_25-30, Cmpd 15502, +MSn(456.27), 32.60 min
104	042913-SludgeD1_1-6, Cmpd 16895, +MSn(636.33), 40.06 min
117	042913-SludgeD1_13-18, Cmpd 4151, +MSn(1086.56), 10.23 min
123	042913-SludgeD1_13-18, Cmpd 8649, +MSn(415.23), 20.52 min
124	042913-SludgeD1_19-24, Cmpd 26894, +MSn(606.32), 60.27 min
128	042913-SludgeD1_25-30, Cmpd 12239, +MSn(444.74), 26.58 min
139	042913-SludgeD1_19-24, Cmpd 27150, +MSn(760.4), 60.92 min
141	042913-SludgeD1_25-30, Cmpd 16808, +MSn(485.26), 34.93 min
143	042913-SludgeD1_1-6, Cmpd 37842, +MSn(1257.27), 93.67 min
144	042913-SludgeD1_19-24, Cmpd 38466, +MSn(614.51), 90.24 min
145	042913-SludgeD1_13-18, Cmpd 23523, +MSn(544.32), 52.79 min
148	042913-SludgeD1_19-24, Cmpd 37379, +MSn(808.77), 87.31 min
153	042913-SludgeD1_25-30, Cmpd 8282, +MSn(442.22), 19.62 min
156	042913-SludgeD1_1-6, Cmpd 7323, +MSn(411.73), 19.60 min
158	042913-SludgeD1_13-18, Cmpd 29864, +MSn(480.8), 68.76 min
161	042913-SludgeD1_19-24, Cmpd 15350, +MSn(619.32), 32.72 min
162	042913-SludgeD1_13-18, Cmpd 3830, +MSn(993.57), 9.41 min
163	042913-SludgeD1_19-24, Cmpd 11980, +MSn(422.75), 26.52 min
165	042913-SludgeD1_13-18, Cmpd 21814, +MSn(606.37), 48.37 min
171	042913-SludgeD1_25-30, Cmpd 28503, +MSn(471.18), 63.78 min
176	042913-SludgeD1_25-30, Cmpd 20138, +MSn(606.78), 42.33 min
196	042913-SludgeD1_13-18, Cmpd 15331, +MSn(429.26), 33.28 min
200	042913-SludgeD1_25-30, Cmpd 26131, +MSn(679.85), 57.56 min
204	042913-SludgeD1_19-24, Cmpd 28925, +MSn(924.06), 65.60 min
205	042913-SludgeD1_25-30, Cmpd 21087, +MSn(606.33), 44.76 min
208	042913-SludgeD1_13-18, Cmpd 21456, +MSn(551.83), 47.47 min
210	042913-SludgeD1_25-30, Cmpd 20527, +MSn(575.33), 43.32 min
213	042913-SludgeD1_13-18, Cmpd 29202, +MSn(453.25), 67.04 min
220	042913-SludgeD1_19-24, Cmpd 19413, +MSn(576.79), 41.14 min
226	042913-SludgeD1_25-30, Cmpd 14400, +MSn(451.26), 30.68 min
229	042913-SludgeD1_1-6, Cmpd 33337, +MSn(1110.5), 81.47 min
233	042913-SludgeD1_1-6, Cmpd 22356, +MSn(729.83), 53.48 min
234	042913-SludgeD1_25-30, Cmpd 24439, +MSn(595.35), 53.23 min
236	042913-SludgeD1_13-18, Cmpd 23478, +MSn(593.36), 52.67 min
241	042913-SludgeD1_25-30, Cmpd 19690, +MSn(603.83), 41.19 min
245	042913-SludgeD1_1-6, Cmpd 33795, +MSn(894.87), 82.69 min
246	042913-SludgeD1_25-30, Cmpd 29665, +MSn(472.29), 66.88 min
247	042913-SludgeD1_19-24, Cmpd 15902, +MSn(469.26), 33.70 min
254	042913-SludgeD1_25-30, Cmpd 9185, +MSn(483.23), 21.23 min
259	042913-SludgeD1_25-30, Cmpd 14351, +MSn(509.78), 30.58 min
264	042913-SludgeD1_13-18, Cmpd 10439, +MSn(455.23), 23.91 min
265	042913-SludgeD1_1-6, Cmpd 6747, +MSn(425.73), 18.19 min
267	042913-SludgeD1_1-6, Cmpd 8527, +MSn(437.22), 21.98 min
270	042913-SludgeD1_13-18, Cmpd 17246, +MSn(659.38), 37.21 min
272	042913-SludgeD1_25-30, Cmpd 3955, +MSn(1131.6), 9.70 min
274	042913-SludgeD1_25-30, Cmpd 9425, +MSn(459.27), 21.64 min
276	042913-SludgeD1_1-6, Cmpd 33469, +MSn(1225.11), 81.84 min
279	042913-SludgeD1_19-24, Cmpd 8850, +MSn(579.81), 20.88 min
280	042913-SludgeD1_13-18, Cmpd 19344, +MSn(613.8), 42.15 min
281	042913-SludgeD1_1-6, Cmpd 13131, +MSn(544.81), 31.61 min
285	042913-SludgeD1_1-6, Cmpd 11246, +MSn(465.77), 27.62 min
286	042913-SludgeD1_1-6, Cmpd 15437, +MSn(576.81), 36.56 min
287	042913-SludgeD1_25-30, Cmpd 35643, +MSn(734.88), 82.22 min;042913-SludgeD1_25-30, Cmpd 35733, +MSn(734.87), 82.46 min
291	042913-SludgeD1_25-30, Cmpd 13444, +MSn(528.27), 28.77 min
294	042913-SludgeD1_13-18, Cmpd 24606, +MSn(615.35), 55.54 min
297	042913-SludgeD1_19-24, Cmpd 17151, +MSn(588.81), 36.01 min
300	042913-SludgeD1_25-30, Cmpd 16106, +MSn(508.28), 33.66 min
301	042913-SludgeD1_13-18, Cmpd 9824, +MSn(408.2), 22.71 min
304	042913-SludgeD1_1-6, Cmpd 15032, +MSn(722.38), 35.64 min
305	042913-SludgeD1_13-18, Cmpd 11412, +MSn(443.76), 25.72 min
308	042913-SludgeD1_25-30, Cmpd 17343, +MSn(679.34), 35.94 min
309	042913-SludgeD1_13-18, Cmpd 9728, +MSn(529.78), 22.53 min
314	042913-SludgeD1_19-24, Cmpd 34692, +MSn(684.5), 80.34 min
315	042913-SludgeD1_25-30, Cmpd 4497, +MSn(832.77), 11.10 min
320	042913-SludgeD1_19-24, Cmpd 37950, +MSn(626.23), 88.84 min
321	042913-SludgeD1_25-30, Cmpd 9313, +MSn(523.29), 21.45 min
322	042913-SludgeD1_25-30, Cmpd 26145, +MSn(511.33), 57.60 min;042913-SludgeD1_19-24, Cmpd 25801, +MSn(511.33), 57.47 min
325	042913-SludgeD1_25-30, Cmpd 26025, +MSn(489.32), 57.29 min
326	042913-SludgeD1_19-24, Cmpd 28093, +MSn(879.95), 63.38 min
327	042913-SludgeD1_19-24, Cmpd 25930, +MSn(489.31), 57.80 min
328	042913-SludgeD1_13-18, Cmpd 35627, +MSn(689.82), 83.67 min
329	042913-SludgeD1_13-18, Cmpd 3881, +MSn(757.22), 9.54 min
330	042913-SludgeD1_13-18, Cmpd 480, +MSn(552.22), 1.24 min
334	042913-SludgeD1_19-24, Cmpd 31123, +MSn(488.94), 71.43 min
335	042913-SludgeD1_25-30, Cmpd 4733, +MSn(873.12), 11.72 min
336	042913-SludgeD1_13-18, Cmpd 38887, +MSn(681.23), 92.51 min
337	042913-SludgeD1_19-24, Cmpd 28475, +MSn(610.18), 64.40 min
338	042913-SludgeD1_1-6, Cmpd 1559, +MSn(533.19), 4.18 min
340	042913-SludgeD1_19-24, Cmpd 23561, +MSn(552.81), 51.83 min
341	042913-SludgeD1_1-6, Cmpd 23645, +MSn(816.07), 56.67 min
342	042913-SludgeD1_19-24, Cmpd 8683, +MSn(483.78), 20.57 min
343	042913-SludgeD1_25-30, Cmpd 30877, +MSn(489.32), 70.12 min
346	042913-SludgeD1_19-24, Cmpd 35873, +MSn(607.69), 83.37 min;042913-SludgeD1_13-18, Cmpd 35475, +MSn(607.69), 83.26 min
349	042913-SludgeD1_25-30, Cmpd 19310, +MSn(513.79), 40.23 min
350	042913-SludgeD1_25-30, Cmpd 36586, +MSn(681.84), 84.69 min
351	042913-SludgeD1_19-24, Cmpd 36935, +MSn(758.22), 86.13 min;042913-SludgeD1_19-24, Cmpd 37029, +MSn(758.23), 86.37 min;042913-SludgeD1_19-24, Cmpd 36680, +MSn(758.22), 85.47 min;042913-SludgeD1_19-24, Cmpd 37137, +MSn(758.22), 86.66 min
352	042913-SludgeD1_1-6, Cmpd 24925, +MSn(1222.54), 59.87 min
354	042913-SludgeD1_25-30, Cmpd 3026, +MSn(773.28), 7.38 min;042913-SludgeD1_1-6, Cmpd 2988, +MSn(773.27), 7.80 min;042913-SludgeD1_1-6, Cmpd 951, +MSn(773.28), 2.50 min;042913-SludgeD1_13-18, Cmpd 2853, +MSn(773.28), 6.98 min;042913-SludgeD1_1-6, Cmpd 37627, +MSn(773.27), 93.09 min;042913-SludgeD1_19-24, Cmpd 3369, +MSn(773.27), 8.28 min;042913-SludgeD1_19-24, Cmpd 2572, +MSn(773.28), 6.28 min
357	042913-SludgeD1_13-18, Cmpd 39363, +MSn(681.24), 93.72 min
360	042913-SludgeD1_25-30, Cmpd 27034, +MSn(489.31), 59.90 min
364	042913-SludgeD1_19-24, Cmpd 2182, +MSn(774.27), 5.29 min
367	042913-SludgeD1_13-18, Cmpd 39304, +MSn(698.85), 93.57 min
368	042913-SludgeD1_13-18, Cmpd 39869, +MSn(624.24), 95.00 min
371	042913-SludgeD1_25-30, Cmpd 13257, +MSn(520.25), 28.37 min
373	042913-SludgeD1_19-24, Cmpd 25733, +MSn(511.34), 57.30 min;042913-SludgeD1_25-30, Cmpd 26073, +MSn(511.33), 57.41 min
374	042913-SludgeD1_19-24, Cmpd 29835, +MSn(815.6), 67.99 min
379	042913-SludgeD1_19-24, Cmpd 38965, +MSn(832.24), 91.63 min;042913-SludgeD1_19-24, Cmpd 37931, +MSn(832.24), 88.80 min;042913-SludgeD1_19-24, Cmpd 37622, +MSn(832.24), 87.97 min;042913-SludgeD1_19-24, Cmpd 38060, +MSn(832.24), 89.13 min;042913-SludgeD1_19-24, Cmpd 38288, +MSn(832.24), 89.74 min
380	042913-SludgeD1_19-24, Cmpd 38447, +MSn(741.2), 90.18 min
381	042913-SludgeD1_19-24, Cmpd 24474, +MSn(593.86), 54.14 min
386	042913-SludgeD1_1-6, Cmpd 1672, +MSn(801.79), 4.48 min
387	042913-SludgeD1_13-18, Cmpd 20693, +MSn(478.27), 45.55 min
389	042913-SludgeD1_1-6, Cmpd 1438, +MSn(815.22), 3.85 min
392	042913-SludgeD1_1-6, Cmpd 25806, +MSn(533.34), 62.06 min
393	042913-SludgeD1_1-6, Cmpd 34576, +MSn(846.3), 84.76 min
396	042913-SludgeD1_19-24, Cmpd 28307, +MSn(928.56), 63.97 min
399	042913-SludgeD1_1-6, Cmpd 7190, +MSn(534.75), 19.28 min
402	042913-SludgeD1_1-6, Cmpd 33986, +MSn(845.26), 83.21 min
403	042913-SludgeD1_13-18, Cmpd 4656, +MSn(750.84), 11.53 min
406	042913-SludgeD1_1-6, Cmpd 1082, +MSn(772.28), 2.87 min
408	042913-SludgeD1_25-30, Cmpd 17649, +MSn(476.25), 36.55 min
410	042913-SludgeD1_25-30, Cmpd 26923, +MSn(489.32), 59.63 min
415	042913-SludgeD1_19-24, Cmpd 38266, +MSn(758.22), 89.68 min
417	042913-SludgeD1_19-24, Cmpd 3292, +MSn(846.3), 8.09 min
418	042913-SludgeD1_13-18, Cmpd 7119, +MSn(476.25), 17.54 min
421	042913-SludgeD1_19-24, Cmpd 14338, +MSn(523.29), 30.95 min
422	042913-SludgeD1_19-24, Cmpd 15351, +MSn(485.27), 32.72 min
424	042913-SludgeD1_19-24, Cmpd 21389, +MSn(624.84), 46.23 min
430	042913-SludgeD1_13-18, Cmpd 19727, +MSn(534.79), 43.11 min
433	042913-SludgeD1_19-24, Cmpd 39905, +MSn(741.19), 94.02 min
434	042913-SludgeD1_1-6, Cmpd 17621, +MSn(531.8), 41.89 min
437	042913-SludgeD1_1-6, Cmpd 29171, +MSn(960.59), 70.58 min
438	042913-SludgeD1_19-24, Cmpd 14470, +MSn(540.26), 31.18 min
442	042913-SludgeD1_19-24, Cmpd 24773, +MSn(695.38), 54.92 min
445	042913-SludgeD1_19-24, Cmpd 12323, +MSn(551.81), 27.12 min
448	042913-SludgeD1_1-6, Cmpd 16581, +MSn(573.33), 39.28 min
452	042913-SludgeD1_19-24, Cmpd 20928, +MSn(683.84), 45.04 min
453	042913-SludgeD1_13-18, Cmpd 29321, +MSn(594.34), 67.36 min
458	042913-SludgeD1_25-30, Cmpd 4866, +MSn(846.93), 12.06 min
460	042913-SludgeD1_1-6, Cmpd 27440, +MSn(834.58), 66.20 min
461	042913-SludgeD1_1-6, Cmpd 3663, +MSn(960.55), 9.46 min
463	042913-SludgeD1_1-6, Cmpd 30769, +MSn(1003.48), 74.82 min
467	042913-SludgeD1_19-24, Cmpd 13873, +MSn(493.79), 30.05 min
471	042913-SludgeD1_19-24, Cmpd 36972, +MSn(756.76), 86.22 min
472	042913-SludgeD1_25-30, Cmpd 36684, +MSn(680.36), 84.95 min
476	042913-SludgeD1_25-30, Cmpd 18299, +MSn(549.82), 37.90 min
