ID	Titles
2	042913-SludgeD1_1-6, Cmpd 15893, +MSn(408.8725), 37.63 min
17	042913-SludgeD1_1-6, Cmpd 23970, +MSn(476.6246), 57.48 min
68	042913-SludgeD1_19-24, Cmpd 16661, +MSn(470.2418), 35.08 min;042913-SludgeD1_19-24, Cmpd 16560, +MSn(470.2423), 34.89 min
106	042913-SludgeD1_25-30, Cmpd 7866, +MSn(618.9755), 18.88 min
109	042913-SludgeD1_25-30, Cmpd 5116, +MSn(511.2556), 12.69 min
126	042913-SludgeD1_1-6, Cmpd 6704, +MSn(401.2343), 18.08 min
130	042913-SludgeD1_19-24, Cmpd 9178, +MSn(440.2109), 21.49 min
157	042913-SludgeD1_25-30, Cmpd 7970, +MSn(618.9769), 19.07 min
193	042913-SludgeD1_19-24, Cmpd 8468, +MSn(538.5951), 20.17 min
204	042913-SludgeD1_25-30, Cmpd 10236, +MSn(402.2308), 23.01 min
216	042913-SludgeD1_19-24, Cmpd 9371, +MSn(441.5344), 21.83 min
238	042913-SludgeD1_1-6, Cmpd 13015, +MSn(503.2867), 31.37 min
246	042913-SludgeD1_13-18, Cmpd 18861, +MSn(694.3861), 40.95 min
278	042913-SludgeD1_13-18, Cmpd 7466, +MSn(438.8982), 18.24 min
292	042913-SludgeD1_1-6, Cmpd 11066, +MSn(441.8965), 27.26 min
329	042913-SludgeD1_13-18, Cmpd 24969, +MSn(452.9489), 56.42 min
331	042913-SludgeD1_19-24, Cmpd 7044, +MSn(444.876), 17.43 min
402	042913-SludgeD1_13-18, Cmpd 6976, +MSn(439.8623), 17.24 min
422	042913-SludgeD1_25-30, Cmpd 17775, +MSn(448.9143), 36.81 min
446	042913-SludgeD1_25-30, Cmpd 15643, +MSn(571.9836), 32.84 min
460	042913-SludgeD1_13-18, Cmpd 27052, +MSn(594.0295), 61.54 min
469	042913-SludgeD1_1-6, Cmpd 10336, +MSn(587.9712), 25.74 min;042913-SludgeD1_1-6, Cmpd 10252, +MSn(587.9728), 25.55 min
516	042913-SludgeD1_13-18, Cmpd 8265, +MSn(424.5826), 19.81 min
543	042913-SludgeD1_1-6, Cmpd 18248, +MSn(590.6513), 43.50 min
558	042913-SludgeD1_13-18, Cmpd 13674, +MSn(416.8573), 30.13 min
628	042913-SludgeD1_13-18, Cmpd 4104, +MSn(436.8809), 10.11 min
707	042913-SludgeD1_25-30, Cmpd 14812, +MSn(604.6342), 31.40 min
735	042913-SludgeD1_19-24, Cmpd 14688, +MSn(553.6031), 31.56 min
800	042913-SludgeD1_25-30, Cmpd 8250, +MSn(436.8912), 19.56 min
837	042913-SludgeD1_19-24, Cmpd 14568, +MSn(551.2807), 31.36 min
841	042913-SludgeD1_13-18, Cmpd 6116, +MSn(451.241), 15.26 min
912	042913-SludgeD1_19-24, Cmpd 5671, +MSn(424.5589), 14.15 min
915	042913-SludgeD1_13-18, Cmpd 6050, +MSn(486.9115), 15.09 min
933	042913-SludgeD1_13-18, Cmpd 21425, +MSn(537.2202), 47.39 min
947	042913-SludgeD1_13-18, Cmpd 9787, +MSn(477.5496), 22.64 min
959	042913-SludgeD1_25-30, Cmpd 5509, +MSn(439.2025), 13.68 min
979	042913-SludgeD1_25-30, Cmpd 5415, +MSn(449.885), 13.45 min
985	042913-SludgeD1_25-30, Cmpd 15452, +MSn(424.2293), 32.51 min
1023	042913-SludgeD1_19-24, Cmpd 19707, +MSn(554.6172), 41.89 min
1117	042913-SludgeD1_1-6, Cmpd 10749, +MSn(630.9573), 26.62 min;042913-SludgeD1_1-6, Cmpd 10848, +MSn(630.96), 26.82 min
1154	042913-SludgeD1_25-30, Cmpd 6814, +MSn(513.9263), 16.85 min
1164	042913-SludgeD1_25-30, Cmpd 18223, +MSn(652.6871), 37.74 min
1179	042913-SludgeD1_25-30, Cmpd 7246, +MSn(535.9462), 17.71 min
1199	042913-SludgeD1_19-24, Cmpd 17427, +MSn(508.6198), 36.56 min
1206	042913-SludgeD1_19-24, Cmpd 15851, +MSn(410.5554), 33.61 min
1212	042913-SludgeD1_1-6, Cmpd 4691, +MSn(427.9027), 13.04 min;042913-SludgeD1_1-6, Cmpd 4752, +MSn(427.9017), 13.21 min;042913-SludgeD1_1-6, Cmpd 4817, +MSn(427.9), 13.39 min
1234	042913-SludgeD1_1-6, Cmpd 6867, +MSn(492.5812), 18.48 min
