ID	Titles
536	042913-SludgeD1_25-30, Cmpd 4930, +MSn(487.7321), 12.22 min
1182	042913-SludgeD1_13-18, Cmpd 11210, +MSn(421.2), 25.33 min
1465	042913-SludgeD1_13-18, Cmpd 8783, +MSn(442.9528), 20.80 min
1527	042913-SludgeD1_13-18, Cmpd 9224, +MSn(446.4552), 21.61 min
2024	042913-SludgeD1_13-18, Cmpd 4776, +MSn(487.7326), 11.84 min
2362	042913-SludgeD1_19-24, Cmpd 8774, +MSn(442.9518), 20.74 min;042913-SludgeD1_19-24, Cmpd 8875, +MSn(442.9521), 20.94 min
3790	042913-SludgeD1_1-6, Cmpd 27741, +MSn(430.8904), 66.97 min
3972	042913-SludgeD1_19-24, Cmpd 5032, +MSn(487.7321), 12.54 min
4278	042913-SludgeD1_13-18, Cmpd 17021, +MSn(576.8197), 36.72 min
4993	042913-SludgeD1_25-30, Cmpd 4719, +MSn(487.7323), 11.68 min
5014	042913-SludgeD1_25-30, Cmpd 8457, +MSn(465.4721), 19.93 min
5543	042913-SludgeD1_1-6, Cmpd 12994, +MSn(432.7261), 31.33 min
5730	042913-SludgeD1_19-24, Cmpd 6061, +MSn(419.447), 15.16 min
5782	042913-SludgeD1_19-24, Cmpd 9884, +MSn(486.4942), 22.76 min
6063	042913-SludgeD1_13-18, Cmpd 9508, +MSn(443.2057), 22.14 min
6414	042913-SludgeD1_19-24, Cmpd 5711, +MSn(426.9436), 14.25 min;042913-SludgeD1_19-24, Cmpd 5636, +MSn(426.9425), 14.06 min;042913-SludgeD1_19-24, Cmpd 5192, +MSn(426.94), 12.95 min;042913-SludgeD1_19-24, Cmpd 5262, +MSn(426.9429), 13.13 min;042913-SludgeD1_19-24, Cmpd 5410, +MSn(426.9433), 13.48 min;042913-SludgeD1_19-24, Cmpd 5336, +MSn(426.9433), 13.31 min;042913-SludgeD1_19-24, Cmpd 5552, +MSn(426.9433), 13.84 min;042913-SludgeD1_19-24, Cmpd 5484, +MSn(426.9433), 13.67 min
7388	042913-SludgeD1_1-6, Cmpd 5962, +MSn(411.19), 16.24 min;042913-SludgeD1_1-6, Cmpd 5879, +MSn(411.1914), 16.03 min
7523	042913-SludgeD1_13-18, Cmpd 9133, +MSn(470.4842), 21.44 min
9247	042913-SludgeD1_13-18, Cmpd 9708, +MSn(446.4569), 22.50 min
9366	042913-SludgeD1_13-18, Cmpd 16215, +MSn(489.2585), 35.01 min
10119	042913-SludgeD1_13-18, Cmpd 4067, +MSn(561.0672), 10.02 min
10140	042913-SludgeD1_1-6, Cmpd 4702, +MSn(487.731), 13.07 min
10294	042913-SludgeD1_25-30, Cmpd 4862, +MSn(487.7303), 12.05 min
10538	042913-SludgeD1_25-30, Cmpd 4793, +MSn(487.7312), 11.87 min
10565	042913-SludgeD1_25-30, Cmpd 7248, +MSn(407.6876), 17.71 min
10799	042913-SludgeD1_13-18, Cmpd 8988, +MSn(442.9524), 21.18 min
11041	042913-SludgeD1_13-18, Cmpd 8885, +MSn(442.9526), 20.99 min;042913-SludgeD1_13-18, Cmpd 9090, +MSn(442.9523), 21.37 min
