ID	Titles
1288	042913-SludgeD1_25-30, Cmpd 29300, +MSn(540.03), 65.90 min;042913-SludgeD1_19-24, Cmpd 28941, +MSn(540.03), 65.64 min;042913-SludgeD1_19-24, Cmpd 27466, +MSn(540.0292), 61.74 min
1319	042913-SludgeD1_19-24, Cmpd 11824, +MSn(547.5783), 26.25 min
1352	042913-SludgeD1_13-18, Cmpd 24638, +MSn(730.0528), 55.62 min
1355	042913-SludgeD1_13-18, Cmpd 15559, +MSn(477.5822), 33.72 min
1400	042913-SludgeD1_13-18, Cmpd 13751, +MSn(408.5364), 30.30 min
1484	042913-SludgeD1_13-18, Cmpd 9190, +MSn(403.9042), 21.55 min
1531	042913-SludgeD1_13-18, Cmpd 12215, +MSn(518.6), 27.24 min
1536	042913-SludgeD1_25-30, Cmpd 14980, +MSn(532.2719), 31.68 min
1573	042913-SludgeD1_13-18, Cmpd 11113, +MSn(569.586), 25.13 min
1577	042913-SludgeD1_25-30, Cmpd 8738, +MSn(400.2074), 20.43 min
1612	042913-SludgeD1_25-30, Cmpd 5175, +MSn(424.5592), 12.85 min
1624	042913-SludgeD1_13-18, Cmpd 5618, +MSn(499.2502), 13.98 min
1631	042913-SludgeD1_19-24, Cmpd 9906, +MSn(496.5987), 22.79 min
1695	042913-SludgeD1_25-30, Cmpd 10265, +MSn(502.2746), 23.06 min
1696	042913-SludgeD1_25-30, Cmpd 26179, +MSn(483.6474), 57.69 min;042913-SludgeD1_19-24, Cmpd 28112, +MSn(483.6456), 63.44 min;042913-SludgeD1_25-30, Cmpd 23105, +MSn(483.6471), 49.93 min;042913-SludgeD1_19-24, Cmpd 23727, +MSn(483.6474), 52.25 min;042913-SludgeD1_19-24, Cmpd 23558, +MSn(483.6472), 51.82 min;042913-SludgeD1_25-30, Cmpd 25419, +MSn(483.648), 55.72 min;042913-SludgeD1_25-30, Cmpd 25352, +MSn(483.648), 55.55 min;042913-SludgeD1_25-30, Cmpd 24177, +MSn(483.6482), 52.57 min;042913-SludgeD1_13-18, Cmpd 29188, +MSn(483.65), 67.01 min
1709	042913-SludgeD1_1-6, Cmpd 18126, +MSn(427.266), 43.19 min
1718	042913-SludgeD1_19-24, Cmpd 22298, +MSn(483.6475), 48.56 min
1719	042913-SludgeD1_1-6, Cmpd 15992, +MSn(580.6091), 37.86 min
1739	042913-SludgeD1_25-30, Cmpd 7364, +MSn(456.569), 17.94 min
1760	042913-SludgeD1_13-18, Cmpd 18002, +MSn(469.9384), 38.98 min
1769	042913-SludgeD1_1-6, Cmpd 10155, +MSn(433.5513), 25.34 min;042913-SludgeD1_1-6, Cmpd 10061, +MSn(433.5518), 25.16 min
1784	042913-SludgeD1_1-6, Cmpd 11401, +MSn(459.9116), 27.92 min
