ID	Titles
76	042913-SludgeD1_13-18, Cmpd 19981, +MSn(723.88), 43.74 min
77	042913-SludgeD1_25-30, Cmpd 29289, +MSn(528.8), 65.87 min
78	042913-SludgeD1_1-6, Cmpd 4109, +MSn(714.44), 10.62 min
79	042913-SludgeD1_1-6, Cmpd 25225, +MSn(477.22), 60.61 min
80	042913-SludgeD1_19-24, Cmpd 18323, +MSn(454.25), 38.47 min
81	042913-SludgeD1_19-24, Cmpd 12311, +MSn(466.26), 27.10 min
82	042913-SludgeD1_25-30, Cmpd 19534, +MSn(510.77), 40.80 min
83	042913-SludgeD1_25-30, Cmpd 11924, +MSn(539.28), 26.01 min
84	042913-SludgeD1_25-30, Cmpd 13357, +MSn(458.26), 28.57 min|042913-SludgeD1_25-30, Cmpd 13345, +MSn(458.28), 28.54 min
85	042913-SludgeD1_1-6, Cmpd 10696, +MSn(474.26), 26.52 min
86	042913-SludgeD1_25-30, Cmpd 15777, +MSn(450.23), 33.08 min
87	042913-SludgeD1_1-6, Cmpd 17086, +MSn(407.21), 40.53 min
88	042913-SludgeD1_19-24, Cmpd 29535, +MSn(645.94), 67.20 min
89	042913-SludgeD1_25-30, Cmpd 7504, +MSn(452.24), 18.20 min
90	042913-SludgeD1_19-24, Cmpd 3844, +MSn(901.19), 9.45 min
91	042913-SludgeD1_1-6, Cmpd 10809, +MSn(483.25), 26.74 min
92	042913-SludgeD1_1-6, Cmpd 9693, +MSn(495.25), 24.41 min
93	042913-SludgeD1_19-24, Cmpd 11043, +MSn(479.26), 24.88 min
94	042913-SludgeD1_13-18, Cmpd 10439, +MSn(455.23), 23.91 min
95	042913-SludgeD1_19-24, Cmpd 17273, +MSn(534.31), 36.25 min
96	042913-SludgeD1_13-18, Cmpd 17140, +MSn(595.31), 36.97 min
97	042913-SludgeD1_19-24, Cmpd 6512, +MSn(602.32), 16.28 min
98	042913-SludgeD1_1-6, Cmpd 6246, +MSn(406.22), 16.96 min
99	042913-SludgeD1_19-24, Cmpd 19273, +MSn(640.39), 40.79 min
100	042913-SludgeD1_1-6, Cmpd 26463, +MSn(846.95), 63.72 min
101	042913-SludgeD1_19-24, Cmpd 12867, +MSn(522.3), 28.08 min
102	042913-SludgeD1_1-6, Cmpd 13782, +MSn(593.33), 32.94 min
103	042913-SludgeD1_25-30, Cmpd 16277, +MSn(497.26), 33.96 min
104	042913-SludgeD1_1-6, Cmpd 13083, +MSn(545.28), 31.51 min
105	042913-SludgeD1_1-6, Cmpd 7633, +MSn(551.3), 20.31 min
106	042913-SludgeD1_1-6, Cmpd 10716, +MSn(550.8), 26.56 min
107	042913-SludgeD1_13-18, Cmpd 12092, +MSn(580.81), 27.02 min
108	042913-SludgeD1_25-30, Cmpd 23386, +MSn(580.8), 50.64 min
109	042913-SludgeD1_1-6, Cmpd 9695, +MSn(469.24), 24.41 min
110	042913-SludgeD1_1-6, Cmpd 13106, +MSn(543.77), 31.56 min
111	042913-SludgeD1_19-24, Cmpd 4670, +MSn(1039.53), 11.59 min
112	042913-SludgeD1_25-30, Cmpd 19726, +MSn(476.24), 41.28 min
113	042913-SludgeD1_25-30, Cmpd 12946, +MSn(507.79), 27.82 min
114	042913-SludgeD1_1-6, Cmpd 11170, +MSn(509.28), 27.47 min
115	042913-SludgeD1_19-24, Cmpd 18630, +MSn(556.82), 39.21 min
116	042913-SludgeD1_25-30, Cmpd 14362, +MSn(425.78), 30.60 min
117	042913-SludgeD1_19-24, Cmpd 14928, +MSn(597.8), 31.98 min
118	042913-SludgeD1_13-18, Cmpd 131, +MSn(525.27), 0.36 min
119	042913-SludgeD1_1-6, Cmpd 8195, +MSn(495.78), 21.36 min
120	042913-SludgeD1_13-18, Cmpd 36462, +MSn(421.76), 85.92 min
121	042913-SludgeD1_25-30, Cmpd 3810, +MSn(1295.61), 9.32 min
122	042913-SludgeD1_13-18, Cmpd 6467, +MSn(508.77), 16.12 min
123	042913-SludgeD1_19-24, Cmpd 3886, +MSn(1113.81), 9.55 min
124	042913-SludgeD1_1-6, Cmpd 10733, +MSn(559.79), 26.59 min
125	042913-SludgeD1_25-30, Cmpd 4358, +MSn(1222.63), 10.74 min
126	042913-SludgeD1_1-6, Cmpd 10354, +MSn(560.79), 25.78 min
127	042913-SludgeD1_25-30, Cmpd 29367, +MSn(489.32), 66.07 min
128	042913-SludgeD1_19-24, Cmpd 22418, +MSn(489.31), 48.87 min|042913-SludgeD1_25-30, Cmpd 22713, +MSn(489.31), 48.93 min
129	042913-SludgeD1_13-18, Cmpd 13481, +MSn(492.24), 29.74 min
130	042913-SludgeD1_1-6, Cmpd 6300, +MSn(516.77), 17.09 min
131	042913-SludgeD1_19-24, Cmpd 4982, +MSn(1148.1), 12.40 min
132	042913-SludgeD1_25-30, Cmpd 20731, +MSn(421.24), 43.85 min
133	042913-SludgeD1_1-6, Cmpd 3472, +MSn(706.29), 8.97 min
134	042913-SludgeD1_1-6, Cmpd 4890, +MSn(793.31), 13.58 min
135	042913-SludgeD1_19-24, Cmpd 8126, +MSn(506.26), 19.53 min
136	042913-SludgeD1_25-30, Cmpd 12780, +MSn(537.77), 27.53 min
137	042913-SludgeD1_19-24, Cmpd 26974, +MSn(964.33), 60.47 min
138	042913-SludgeD1_13-18, Cmpd 4266, +MSn(1176.12), 10.53 min
139	042913-SludgeD1_13-18, Cmpd 29570, +MSn(1091.03), 68.00 min
140	042913-SludgeD1_25-30, Cmpd 29273, +MSn(904.47), 65.83 min
141	042913-SludgeD1_25-30, Cmpd 21376, +MSn(621.85), 45.51 min
142	042913-SludgeD1_25-30, Cmpd 21653, +MSn(671.3), 46.23 min
143	042913-SludgeD1_13-18, Cmpd 17939, +MSn(655.32), 38.83 min
144	042913-SludgeD1_19-24, Cmpd 17995, +MSn(568.29), 37.72 min
145	042913-SludgeD1_19-24, Cmpd 18395, +MSn(491.75), 38.64 min
146	042913-SludgeD1_19-24, Cmpd 22403, +MSn(539.79), 48.83 min
147	042913-SludgeD1_1-6, Cmpd 18889, +MSn(530.3), 45.16 min
148	042913-SludgeD1_13-18, Cmpd 15443, +MSn(598.8), 33.50 min
149	042913-SludgeD1_19-24, Cmpd 17367, +MSn(575.8), 36.44 min
150	042913-SludgeD1_1-6, Cmpd 3716, +MSn(807.4), 9.59 min
151	042913-SludgeD1_19-24, Cmpd 14083, +MSn(469.27), 30.49 min
152	042913-SludgeD1_19-24, Cmpd 23869, +MSn(823.44), 52.63 min
153	042913-SludgeD1_1-6, Cmpd 15727, +MSn(575.79), 37.23 min
154	042913-SludgeD1_25-30, Cmpd 11797, +MSn(562.28), 25.77 min
155	042913-SludgeD1_25-30, Cmpd 23863, +MSn(523.29), 51.82 min
156	042913-SludgeD1_1-6, Cmpd 3649, +MSn(747.45), 9.42 min
157	042913-SludgeD1_25-30, Cmpd 20917, +MSn(568.81), 44.32 min
158	042913-SludgeD1_13-18, Cmpd 8131, +MSn(524.27), 19.56 min
159	042913-SludgeD1_25-30, Cmpd 15672, +MSn(404.22), 32.89 min
160	042913-SludgeD1_25-30, Cmpd 14965, +MSn(567.74), 31.65 min
161	042913-SludgeD1_25-30, Cmpd 3838, +MSn(1054.29), 9.40 min
162	042913-SludgeD1_1-6, Cmpd 3572, +MSn(1033.41), 9.23 min
163	042913-SludgeD1_25-30, Cmpd 15756, +MSn(451.26), 33.04 min
164	042913-SludgeD1_1-6, Cmpd 28857, +MSn(477.76), 69.77 min|042913-SludgeD1_1-6, Cmpd 28794, +MSn(477.77), 69.60 min
165	042913-SludgeD1_19-24, Cmpd 9762, +MSn(451.24), 22.53 min
166	042913-SludgeD1_13-18, Cmpd 6614, +MSn(561.26), 16.46 min
167	042913-SludgeD1_1-6, Cmpd 15906, +MSn(503.76), 37.66 min
168	042913-SludgeD1_1-6, Cmpd 14680, +MSn(478.74), 34.86 min
169	042913-SludgeD1_19-24, Cmpd 9715, +MSn(425.73), 22.44 min
170	042913-SludgeD1_19-24, Cmpd 22422, +MSn(583.29), 48.88 min
171	042913-SludgeD1_19-24, Cmpd 6842, +MSn(438.73), 17.01 min
172	042913-SludgeD1_1-6, Cmpd 18231, +MSn(490.31), 43.46 min
173	042913-SludgeD1_25-30, Cmpd 28005, +MSn(529.3), 62.45 min
174	042913-SludgeD1_19-24, Cmpd 4174, +MSn(855.45), 10.30 min
175	042913-SludgeD1_25-30, Cmpd 27173, +MSn(472.29), 60.28 min
176	042913-SludgeD1_25-30, Cmpd 23440, +MSn(717.96), 50.78 min
177	042913-SludgeD1_25-30, Cmpd 4984, +MSn(920.48), 12.36 min
178	042913-SludgeD1_25-30, Cmpd 4902, +MSn(1062.56), 12.15 min
179	042913-SludgeD1_25-30, Cmpd 29441, +MSn(489.32), 66.27 min
180	042913-SludgeD1_1-6, Cmpd 21680, +MSn(591.36), 51.87 min
181	042913-SludgeD1_25-30, Cmpd 25358, +MSn(527.8), 55.56 min
182	042913-SludgeD1_25-30, Cmpd 16538, +MSn(667.8), 34.43 min
183	042913-SludgeD1_25-30, Cmpd 22332, +MSn(545.31), 47.95 min
184	042913-SludgeD1_25-30, Cmpd 28573, +MSn(728.06), 63.97 min
185	042913-SludgeD1_1-6, Cmpd 19470, +MSn(539.32), 46.63 min
186	042913-SludgeD1_25-30, Cmpd 24599, +MSn(441.79), 53.63 min
187	042913-SludgeD1_1-6, Cmpd 19732, +MSn(503.31), 47.30 min
188	042913-SludgeD1_19-24, Cmpd 20963, +MSn(439.28), 45.13 min
189	042913-SludgeD1_1-6, Cmpd 9086, +MSn(465.23), 23.19 min
190	042913-SludgeD1_1-6, Cmpd 22909, +MSn(477.77), 54.83 min|042913-SludgeD1_1-6, Cmpd 22973, +MSn(477.77), 55.00 min
191	042913-SludgeD1_19-24, Cmpd 35884, +MSn(822.73), 83.40 min
192	042913-SludgeD1_25-30, Cmpd 26915, +MSn(703.46), 59.60 min
193	042913-SludgeD1_25-30, Cmpd 11739, +MSn(509.77), 25.66 min
194	042913-SludgeD1_19-24, Cmpd 4279, +MSn(1166.09), 10.57 min
195	042913-SludgeD1_25-30, Cmpd 29111, +MSn(646.44), 65.39 min
196	042913-SludgeD1_25-30, Cmpd 21018, +MSn(674.36), 44.58 min
197	042913-SludgeD1_25-30, Cmpd 21350, +MSn(688.37), 45.45 min
198	042913-SludgeD1_13-18, Cmpd 27585, +MSn(1387.39), 62.87 min
199	042913-SludgeD1_19-24, Cmpd 14891, +MSn(474.25), 31.91 min
200	042913-SludgeD1_19-24, Cmpd 8850, +MSn(579.81), 20.88 min
201	042913-SludgeD1_19-24, Cmpd 16866, +MSn(556.28), 35.47 min
202	042913-SludgeD1_19-24, Cmpd 29978, +MSn(515.74), 68.37 min
203	042913-SludgeD1_25-30, Cmpd 16137, +MSn(514.79), 33.71 min
204	042913-SludgeD1_13-18, Cmpd 19520, +MSn(596.34), 42.59 min
205	042913-SludgeD1_19-24, Cmpd 2912, +MSn(661.84), 7.13 min
206	042913-SludgeD1_13-18, Cmpd 9908, +MSn(507.25), 22.88 min
207	042913-SludgeD1_25-30, Cmpd 19489, +MSn(553.29), 40.68 min
208	042913-SludgeD1_1-6, Cmpd 9970, +MSn(566.3), 24.97 min
209	042913-SludgeD1_13-18, Cmpd 20602, +MSn(618.31), 45.31 min
210	042913-SludgeD1_25-30, Cmpd 9649, +MSn(418.22), 22.02 min
211	042913-SludgeD1_13-18, Cmpd 29615, +MSn(724.97), 68.11 min|042913-SludgeD1_13-18, Cmpd 29481, +MSn(724.97), 67.76 min
212	042913-SludgeD1_25-30, Cmpd 9111, +MSn(430.25), 21.10 min
213	042913-SludgeD1_25-30, Cmpd 12093, +MSn(485.75), 26.32 min
214	042913-SludgeD1_25-30, Cmpd 29267, +MSn(672.15), 65.81 min
215	042913-SludgeD1_1-6, Cmpd 19078, +MSn(550.29), 45.64 min
216	042913-SludgeD1_25-30, Cmpd 19669, +MSn(413.73), 41.14 min
217	042913-SludgeD1_25-30, Cmpd 26882, +MSn(681.85), 59.52 min
218	042913-SludgeD1_1-6, Cmpd 9245, +MSn(479.26), 23.51 min
219	042913-SludgeD1_25-30, Cmpd 35660, +MSn(895.54), 82.26 min
220	042913-SludgeD1_13-18, Cmpd 30232, +MSn(931.74), 69.76 min
221	042913-SludgeD1_1-6, Cmpd 16899, +MSn(406.72), 40.07 min
222	042913-SludgeD1_1-6, Cmpd 5453, +MSn(504.3), 14.99 min
223	042913-SludgeD1_25-30, Cmpd 3799, +MSn(999.12), 9.30 min
224	042913-SludgeD1_25-30, Cmpd 27493, +MSn(640.39), 61.12 min
225	042913-SludgeD1_1-6, Cmpd 7128, +MSn(466.24), 19.13 min
226	042913-SludgeD1_25-30, Cmpd 10195, +MSn(402.23), 22.93 min
227	042913-SludgeD1_13-18, Cmpd 18610, +MSn(552.78), 40.36 min
228	042913-SludgeD1_19-24, Cmpd 15523, +MSn(488.27), 33.03 min
229	042913-SludgeD1_13-18, Cmpd 5692, +MSn(532.25), 14.18 min
230	042913-SludgeD1_19-24, Cmpd 26429, +MSn(713.37), 59.06 min
231	042913-SludgeD1_13-18, Cmpd 15331, +MSn(429.26), 33.28 min
232	042913-SludgeD1_19-24, Cmpd 36111, +MSn(642.07), 83.98 min
233	042913-SludgeD1_13-18, Cmpd 14137, +MSn(577.3), 31.01 min
234	042913-SludgeD1_1-6, Cmpd 17667, +MSn(430.89), 42.01 min
235	042913-SludgeD1_25-30, Cmpd 22181, +MSn(600.85), 47.56 min
236	042913-SludgeD1_13-18, Cmpd 10241, +MSn(508.77), 23.52 min
237	042913-SludgeD1_19-24, Cmpd 17496, +MSn(617.83), 36.72 min
238	042913-SludgeD1_13-18, Cmpd 23138, +MSn(567.32), 51.80 min
239	042913-SludgeD1_1-6, Cmpd 26490, +MSn(484.21), 63.79 min
240	042913-SludgeD1_19-24, Cmpd 12739, +MSn(572.27), 27.84 min
241	042913-SludgeD1_19-24, Cmpd 10552, +MSn(562.27), 24.00 min
242	042913-SludgeD1_19-24, Cmpd 26133, +MSn(981.73), 58.31 min
243	042913-SludgeD1_19-24, Cmpd 11905, +MSn(431.74), 26.39 min
244	042913-SludgeD1_1-6, Cmpd 27199, +MSn(809.44), 65.60 min
245	042913-SludgeD1_25-30, Cmpd 25854, +MSn(619.38), 56.86 min
246	042913-SludgeD1_25-30, Cmpd 4319, +MSn(856.45), 10.64 min
247	042913-SludgeD1_25-30, Cmpd 23007, +MSn(533.78), 49.68 min
248	042913-SludgeD1_25-30, Cmpd 26614, +MSn(543.32), 58.82 min
249	042913-SludgeD1_1-6, Cmpd 95, +MSn(730.38), 0.27 min
250	042913-SludgeD1_25-30, Cmpd 18829, +MSn(441.79), 39.08 min
251	042913-SludgeD1_1-6, Cmpd 5039, +MSn(508.91), 13.96 min
252	042913-SludgeD1_25-30, Cmpd 30807, +MSn(714.76), 69.94 min
253	042913-SludgeD1_1-6, Cmpd 36303, +MSn(421.76), 89.48 min
254	042913-SludgeD1_25-30, Cmpd 29990, +MSn(555.32), 67.75 min
255	042913-SludgeD1_25-30, Cmpd 22392, +MSn(472.29), 48.11 min
256	042913-SludgeD1_13-18, Cmpd 5113, +MSn(1133.25), 12.69 min
257	042913-SludgeD1_1-6, Cmpd 14853, +MSn(587.33), 35.24 min
258	042913-SludgeD1_13-18, Cmpd 13633, +MSn(460.25), 30.04 min
259	042913-SludgeD1_1-6, Cmpd 34484, +MSn(421.76), 84.51 min|042913-SludgeD1_13-18, Cmpd 35876, +MSn(421.76), 84.37 min|042913-SludgeD1_19-24, Cmpd 35768, +MSn(421.76), 83.09 min|042913-SludgeD1_19-24, Cmpd 35831, +MSn(421.76), 83.25 min|042913-SludgeD1_19-24, Cmpd 35696, +MSn(421.76), 82.90 min|042913-SludgeD1_19-24, Cmpd 36036, +MSn(421.76), 83.79 min|042913-SludgeD1_19-24, Cmpd 35895, +MSn(421.76), 83.43 min|042913-SludgeD1_13-18, Cmpd 35737, +MSn(421.76), 83.98 min|042913-SludgeD1_13-18, Cmpd 35807, +MSn(421.76), 84.18 min|042913-SludgeD1_19-24, Cmpd 36103, +MSn(421.76), 83.96 min|042913-SludgeD1_19-24, Cmpd 36170, +MSn(421.76), 84.13 min|042913-SludgeD1_19-24, Cmpd 35964, +MSn(421.76), 83.60 min|042913-SludgeD1_19-24, Cmpd 36365, +MSn(421.76), 84.65 min|042913-SludgeD1_19-24, Cmpd 36301, +MSn(421.76), 84.48 min
260	042913-SludgeD1_13-18, Cmpd 4582, +MSn(1167.6), 11.34 min
261	042913-SludgeD1_25-30, Cmpd 3705, +MSn(1030.7), 9.06 min
262	042913-SludgeD1_13-18, Cmpd 36676, +MSn(547.81), 86.52 min
263	042913-SludgeD1_19-24, Cmpd 4917, +MSn(1062.22), 12.23 min
264	042913-SludgeD1_13-18, Cmpd 35669, +MSn(421.76), 83.79 min
265	042913-SludgeD1_19-24, Cmpd 25703, +MSn(640.34), 57.22 min
266	042913-SludgeD1_19-24, Cmpd 11177, +MSn(488.76), 25.11 min
267	042913-SludgeD1_25-30, Cmpd 30320, +MSn(486.31), 68.63 min|042913-SludgeD1_25-30, Cmpd 30230, +MSn(486.31), 68.39 min|042913-SludgeD1_19-24, Cmpd 30033, +MSn(486.31), 68.50 min
268	042913-SludgeD1_25-30, Cmpd 12082, +MSn(405.22), 26.30 min
269	042913-SludgeD1_1-6, Cmpd 6983, +MSn(523.76), 18.77 min
270	042913-SludgeD1_19-24, Cmpd 24124, +MSn(867.55), 53.27 min
271	042913-SludgeD1_25-30, Cmpd 7350, +MSn(524.28), 17.90 min
272	042913-SludgeD1_19-24, Cmpd 10855, +MSn(493.28), 24.55 min|042913-SludgeD1_25-30, Cmpd 11087, +MSn(493.28), 24.54 min
273	042913-SludgeD1_13-18, Cmpd 10468, +MSn(417.74), 23.97 min
274	042913-SludgeD1_19-24, Cmpd 23064, +MSn(775.4), 50.54 min
275	042913-SludgeD1_1-6, Cmpd 13254, +MSn(588.77), 31.86 min
276	042913-SludgeD1_13-18, Cmpd 25258, +MSn(564.81), 57.12 min
277	042913-SludgeD1_1-6, Cmpd 5840, +MSn(416.73), 15.94 min
278	042913-SludgeD1_25-30, Cmpd 27831, +MSn(590.92), 62.01 min
279	042913-SludgeD1_13-18, Cmpd 36536, +MSn(1262.44), 86.13 min
280	042913-SludgeD1_19-24, Cmpd 4451, +MSn(1109.57), 11.02 min
281	042913-SludgeD1_19-24, Cmpd 35684, +MSn(716.52), 82.87 min
282	042913-SludgeD1_25-30, Cmpd 27202, +MSn(616.83), 60.35 min
283	042913-SludgeD1_25-30, Cmpd 25984, +MSn(850.46), 57.19 min
