ID	Titles
72	042913-SludgeD1_19-24, Cmpd 5338, +MSn(401.938), 13.31 min
397	042913-SludgeD1_13-18, Cmpd 35781, +MSn(405.27), 84.10 min|042913-SludgeD1_25-30, Cmpd 36023, +MSn(405.273), 83.22 min|042913-SludgeD1_19-24, Cmpd 35870, +MSn(405.2742), 83.36 min|042913-SludgeD1_25-30, Cmpd 36240, +MSn(405.2754), 83.77 min|042913-SludgeD1_19-24, Cmpd 36076, +MSn(405.2738), 83.89 min
416	042913-SludgeD1_19-24, Cmpd 35865, +MSn(529.8162), 83.35 min|042913-SludgeD1_19-24, Cmpd 36012, +MSn(529.82), 83.73 min|042913-SludgeD1_25-30, Cmpd 36215, +MSn(529.82), 83.70 min|042913-SludgeD1_19-24, Cmpd 35927, +MSn(529.82), 83.52 min|042913-SludgeD1_25-30, Cmpd 36078, +MSn(529.82), 83.36 min|042913-SludgeD1_19-24, Cmpd 35720, +MSn(529.82), 82.96 min|042913-SludgeD1_25-30, Cmpd 35943, +MSn(529.82), 83.01 min
675	042913-SludgeD1_25-30, Cmpd 4793, +MSn(487.7312), 11.87 min|042913-SludgeD1_19-24, Cmpd 4813, +MSn(487.73), 11.96 min
1001	042913-SludgeD1_13-18, Cmpd 9133, +MSn(470.4842), 21.44 min
1065	042913-SludgeD1_25-30, Cmpd 8947, +MSn(442.952), 20.81 min
2225	042913-SludgeD1_13-18, Cmpd 28088, +MSn(531.3323), 64.21 min
3108	042913-SludgeD1_13-18, Cmpd 19855, +MSn(521.0258), 43.43 min
6840	042913-SludgeD1_25-30, Cmpd 27241, +MSn(405.2733), 60.45 min
7713	042913-SludgeD1_19-24, Cmpd 6238, +MSn(431.7115), 15.60 min
8613	042913-SludgeD1_13-18, Cmpd 11120, +MSn(421.1998), 25.15 min
9030	042913-SludgeD1_13-18, Cmpd 17021, +MSn(576.8197), 36.72 min
9170	042913-SludgeD1_25-30, Cmpd 8457, +MSn(465.4721), 19.93 min
9528	042913-SludgeD1_25-30, Cmpd 4930, +MSn(487.7321), 12.22 min
10077	042913-SludgeD1_19-24, Cmpd 12038, +MSn(463.2477), 26.62 min
10386	042913-SludgeD1_13-18, Cmpd 5298, +MSn(447.1965), 13.17 min
11126	042913-SludgeD1_13-18, Cmpd 11210, +MSn(421.2), 25.33 min
11241	042913-SludgeD1_1-6, Cmpd 27741, +MSn(430.8904), 66.97 min
11736	042913-SludgeD1_13-18, Cmpd 27570, +MSn(478.7922), 62.84 min
13590	042913-SludgeD1_13-18, Cmpd 9508, +MSn(443.2057), 22.14 min
14877	042913-SludgeD1_1-6, Cmpd 9607, +MSn(490.7362), 24.23 min
15306	042913-SludgeD1_19-24, Cmpd 25499, +MSn(405.2769), 56.73 min
15456	042913-SludgeD1_19-24, Cmpd 35725, +MSn(433.781), 82.98 min
15545	042913-SludgeD1_19-24, Cmpd 25496, +MSn(433.7844), 56.72 min
