ID	Titles
37	042913-SludgeD1_1-6, Cmpd 24431, +MSn(505.9744), 58.64 min
40	042913-SludgeD1_19-24, Cmpd 7602, +MSn(419.2107), 18.54 min
79	042913-SludgeD1_13-18, Cmpd 6093, +MSn(412.2011), 15.20 min|042913-SludgeD1_13-18, Cmpd 6169, +MSn(412.2), 15.39 min
95	042913-SludgeD1_19-24, Cmpd 6063, +MSn(403.55), 15.16 min|042913-SludgeD1_13-18, Cmpd 6166, +MSn(403.5512), 15.39 min|042913-SludgeD1_13-18, Cmpd 6012, +MSn(403.551), 14.99 min|042913-SludgeD1_13-18, Cmpd 5943, +MSn(403.5511), 14.82 min|042913-SludgeD1_19-24, Cmpd 5983, +MSn(403.5512), 14.96 min|042913-SludgeD1_25-30, Cmpd 5978, +MSn(403.5512), 14.88 min|042913-SludgeD1_13-18, Cmpd 6086, +MSn(403.5511), 15.19 min|042913-SludgeD1_19-24, Cmpd 5916, +MSn(403.5524), 14.78 min
154	042913-SludgeD1_1-6, Cmpd 5759, +MSn(424.8523), 15.75 min
169	042913-SludgeD1_19-24, Cmpd 7932, +MSn(526.9212), 19.17 min
174	042913-SludgeD1_1-6, Cmpd 20269, +MSn(635.31), 48.58 min|042913-SludgeD1_1-6, Cmpd 20113, +MSn(635.31), 48.21 min|042913-SludgeD1_1-6, Cmpd 20191, +MSn(635.3104), 48.39 min
232	042913-SludgeD1_13-18, Cmpd 10950, +MSn(429.5539), 24.81 min
241	042913-SludgeD1_13-18, Cmpd 21810, +MSn(650.0047), 48.36 min
242	042913-SludgeD1_13-18, Cmpd 5828, +MSn(407.8719), 14.53 min
260	042913-SludgeD1_25-30, Cmpd 11959, +MSn(523.2671), 26.07 min
268	042913-SludgeD1_1-6, Cmpd 13283, +MSn(492.6003), 31.92 min
288	042913-SludgeD1_13-18, Cmpd 10447, +MSn(557.9076), 23.93 min|042913-SludgeD1_13-18, Cmpd 10340, +MSn(557.9073), 23.71 min
294	042913-SludgeD1_25-30, Cmpd 5658, +MSn(423.2013), 14.06 min
329	042913-SludgeD1_1-6, Cmpd 10775, +MSn(447.9125), 26.68 min
334	042913-SludgeD1_1-6, Cmpd 10888, +MSn(447.9132), 26.90 min
437	042913-SludgeD1_13-18, Cmpd 5284, +MSn(481.5762), 13.14 min
460	042913-SludgeD1_25-30, Cmpd 8905, +MSn(498.58), 20.72 min
483	042913-SludgeD1_19-24, Cmpd 6465, +MSn(406.8736), 16.16 min
499	042913-SludgeD1_1-6, Cmpd 16105, +MSn(466.2118), 38.12 min
512	042913-SludgeD1_13-18, Cmpd 15311, +MSn(728.72), 33.24 min|042913-SludgeD1_13-18, Cmpd 15405, +MSn(728.7221), 33.43 min
