ID	Titles
0	042913-SludgeD1_13-18, Cmpd 25, +MSn(815.43), 0.07 min
1	042913-SludgeD1_13-18, Cmpd 21300, +MSn(814.31), 47.09 min
2	042913-SludgeD1_19-24, Cmpd 38786, +MSn(1351.9), 91.14 min
3	042913-SludgeD1_13-18, Cmpd 37999, +MSn(1357.62), 90.13 min
4	042913-SludgeD1_25-30, Cmpd 8384, +MSn(866.89), 19.79 min
5	042913-SludgeD1_25-30, Cmpd 10087, +MSn(732.39), 22.75 min
6	042913-SludgeD1_19-24, Cmpd 8630, +MSn(738.38), 20.47 min
7	042913-SludgeD1_1-6, Cmpd 36845, +MSn(1287.12), 90.96 min
8	042913-SludgeD1_1-6, Cmpd 34739, +MSn(1162.13), 85.20 min
9	042913-SludgeD1_19-24, Cmpd 38075, +MSn(1267.88), 89.17 min
10	042913-SludgeD1_19-24, Cmpd 6091, +MSn(614.82), 15.23 min
11	042913-SludgeD1_13-18, Cmpd 19736, +MSn(827.4), 43.13 min
12	042913-SludgeD1_1-6, Cmpd 7198, +MSn(574.31), 19.29 min
13	042913-SludgeD1_13-18, Cmpd 4710, +MSn(778.41), 11.67 min
14	042913-SludgeD1_19-24, Cmpd 12711, +MSn(646.33), 27.79 min
15	042913-SludgeD1_19-24, Cmpd 14850, +MSn(735.88), 31.84 min
16	042913-SludgeD1_13-18, Cmpd 14720, +MSn(773.36), 32.09 min
17	042913-SludgeD1_1-6, Cmpd 22347, +MSn(722.35), 53.45 min
18	042913-SludgeD1_1-6, Cmpd 11207, +MSn(500.28), 27.54 min
19	042913-SludgeD1_19-24, Cmpd 39121, +MSn(849.78), 92.03 min
20	042913-SludgeD1_19-24, Cmpd 21075, +MSn(628.34), 45.42 min
21	042913-SludgeD1_13-18, Cmpd 38172, +MSn(1326.38), 90.58 min
22	042913-SludgeD1_25-30, Cmpd 26700, +MSn(987), 59.04 min
23	042913-SludgeD1_25-30, Cmpd 6096, +MSn(931.71), 15.18 min
24	042913-SludgeD1_13-18, Cmpd 6924, +MSn(615.32), 17.14 min
25	042913-SludgeD1_19-24, Cmpd 22556, +MSn(882.43), 49.23 min
26	042913-SludgeD1_25-30, Cmpd 9512, +MSn(635.3), 21.79 min
27	042913-SludgeD1_19-24, Cmpd 12546, +MSn(646.8), 27.50 min
28	042913-SludgeD1_1-6, Cmpd 12571, +MSn(629.64), 30.43 min
29	042913-SludgeD1_1-6, Cmpd 18983, +MSn(749.92), 45.40 min
30	042913-SludgeD1_13-18, Cmpd 19830, +MSn(787.91), 43.37 min
31	042913-SludgeD1_25-30, Cmpd 26829, +MSn(1320.35), 59.38 min
32	042913-SludgeD1_19-24, Cmpd 37629, +MSn(1302.19), 87.99 min
33	042913-SludgeD1_25-30, Cmpd 11622, +MSn(841.4), 25.46 min
34	042913-SludgeD1_25-30, Cmpd 37062, +MSn(1330.43), 85.93 min
35	042913-SludgeD1_19-24, Cmpd 22638, +MSn(836.46), 49.43 min
